Time,temperature,humidity,pressure
"""2021-02-12T14:07:23.135Z""",36.06,22.66,1025.06

"""2021-02-12T14:10:43.267Z""",36.22,22.54,1025.09

"""2021-02-12T15:10:44.053Z""",36.38,22.88,1025.26

"""2021-02-12T15:36:50.938Z""",36.54,23.31,1025.23

"""2021-02-12T16:06:06.395Z""",36.99,23.16,1025.22

"""2021-02-12T16:07:21.433Z""",37.01,23.02,1025.22

"""2021-02-12T16:07:44.311Z""",37.13,22.93,1025.2

"""2021-02-12T16:08:03.096Z""",37.19,22.78,1025.19

"""2021-02-12T16:20:29.438Z""",37.17,22.89,1025.14

"""2021-02-12T16:21:31.594Z""",37.15,22.63,1025.19

"""2021-02-12T16:25:01.144Z""",37.15,23.09,1025.22

"""2021-02-12T17:25:01.834Z""",37.27,22.61,1025.11

"""2021-02-12T18:25:01.890Z""",36.95,23.81,1025.18

"""2021-02-12T19:25:02.758Z""",36.74,22.44,1025.19

"""2021-02-12T20:25:03.170Z""",36.47,23.04,1024.99

"""2021-02-12T21:25:03.948Z""",36.47,22.94,1025.25

"""2021-02-12T22:25:04.696Z""",36.52,24.42,1025.08

"""2021-02-12T23:25:05.317Z""",36.22,23.58,1025.3

"""2021-02-13T00:25:05.924Z""",36.17,22.64,1025.33

"""2021-02-13T01:25:06.512Z""",35.74,22.01,1025.33

"""2021-02-13T02:25:07.200Z""",35.59,21.97,1025.09

"""2021-02-13T03:25:08.120Z""",35.68,21.99,1025.16

"""2021-02-13T04:25:08.839Z""",35.43,21.52,1025.18

"""2021-02-13T05:25:09.505Z""",35.58,21.07,1025.43

"""2021-02-13T06:25:10.019Z""",35.5,21.41,1025.76

"""2021-02-13T07:25:10.529Z""",35.29,20.76,1025.85

"""2021-02-13T08:25:11.005Z""",35.24,20.47,1025.71

"""2021-02-13T09:25:11.249Z""",35.22,22.34,1025.92

"""2021-02-13T10:25:11.560Z""",35.45,21.15,1025.89

"""2021-02-13T11:25:12.052Z""",35.58,21.17,1025.75

"""2021-02-13T12:25:12.500Z""",35.58,21.2,1025.73

"""2021-02-13T13:25:12.845Z""",35.54,21.4,1025.5

"""2021-02-13T14:25:13.368Z""",35.43,23.82,1025.7

"""2021-02-13T15:25:13.822Z""",35.58,22.7,1025.78

"""2021-02-13T16:25:14.246Z""",35.65,22.35,1025.84

"""2021-02-13T17:25:14.606Z""",35.52,22.68,1026.05

"""2021-02-13T18:25:15.148Z""",36.11,23.07,1026.38

"""2021-02-13T19:25:15.708Z""",35.61,22.45,1026.31

"""2021-02-13T20:25:16.417Z""",35.59,22.03,1026.79

"""2021-02-13T21:25:17.184Z""",35.5,22.56,1027.15

"""2021-02-13T22:25:17.567Z""",35.65,21.47,1027.27

"""2021-02-13T23:25:17.825Z""",35.59,22.33,1027.59

"""2021-02-14T00:25:18.248Z""",35.38,21.62,1027.54

"""2021-02-14T01:25:18.864Z""",35.41,21.06,1028.05

"""2021-02-14T02:25:19.343Z""",35.31,21.08,1028.05

"""2021-02-14T03:25:19.849Z""",35.38,21.01,1028.46

"""2021-02-14T04:25:20.226Z""",35.49,20.87,1028.85

"""2021-02-14T05:25:20.475Z""",35.47,19.5,1029.29

"""2021-02-14T06:25:21.316Z""",35.5,20.93,1029.66

"""2021-02-14T07:25:21.671Z""",36.08,20.93,1030.25

"""2021-02-14T08:25:22.376Z""",35.93,22.92,1030.69

"""2021-02-14T09:25:22.983Z""",36.45,22.47,1031

"""2021-02-14T10:25:23.426Z""",36.36,21.84,1031.39

"""2021-02-14T11:25:23.788Z""",36.02,21.29,1031.53

"""2021-02-14T12:25:24.051Z""",35.88,22.46,1031.7

"""2021-02-14T13:25:24.537Z""",36.15,21.73,1032.16

"""2021-02-14T14:25:25.038Z""",36.08,21.59,1032.08

"""2021-02-14T15:25:25.212Z""",36.08,21.58,1031.88

"""2021-02-14T16:25:25.813Z""",35.81,20.82,1031.73

"""2021-02-14T17:25:26.262Z""",35.93,21,1031.78

"""2021-02-14T18:25:26.635Z""",36.06,21.22,1031.53

"""2021-02-14T19:25:27.149Z""",35.93,21.09,1031.5

"""2021-02-14T20:25:27.306Z""",35.99,21.36,1031.07

"""2021-02-14T21:25:27.865Z""",36,20.98,1030.8

"""2021-02-14T22:25:28.175Z""",36.15,21.36,1030.26

"""2021-02-14T23:25:28.473Z""",36.02,22.11,1029.61

"""2021-02-15T00:25:28.559Z""",36.26,21.99,1028.84

"""2021-02-15T01:25:28.917Z""",36.24,21.95,1028.15

"""2021-02-15T02:25:29.038Z""",36.2,21.96,1027.35

"""2021-02-15T03:25:29.423Z""",36.17,22.39,1026.56

"""2021-02-15T04:25:30.315Z""",36.17,22.41,1025.72

"""2021-02-15T05:25:30.719Z""",35.92,21.05,1024.8

"""2021-02-15T06:25:30.841Z""",36.26,21.76,1024.11

"""2021-02-15T07:25:31.153Z""",36.43,21.63,1023.64

"""2021-02-15T08:25:31.478Z""",36.33,21.65,1022.93

"""2021-02-15T09:25:31.768Z""",36.4,20.95,1022.2

"""2021-02-15T10:25:31.868Z""",35.99,22.99,1021.72

"""2021-02-15T11:25:32.132Z""",35.83,20.85,1020.76

"""2021-02-15T12:25:32.380Z""",36.04,22.64,1020.25

"""2021-02-15T13:25:32.791Z""",36.27,22.23,1019.71

"""2021-02-15T14:25:33.328Z""",36.54,22.44,1019.22

"""2021-02-15T14:27:14.361Z""",36.58,22.39,1019.2

"""2021-02-15T15:08:45.975Z""",36.88,22.11,1018.68

"""2021-02-15T15:09:29.584Z""",36.88,22.06,1018.7

"""2021-02-15T15:09:46.741Z""",36.9,21.94,1018.74

"""2021-02-15T15:11:37.914Z""",36.93,22.12,1018.66

"""2021-02-15T15:12:52.168Z""",36.88,22.18,1018.63

